epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4121,4.73231,5.07045,4.13462,0,0,0,0,4.86329,5.01952,4.2475,0.000164179,0.000164179,0.000164179
2,74.7933,4.16531,4.24494,3.4389,0,0,0,0,4.85916,5.06191,4.31723,0.000329208,0.000329208,0.000329208
3,106.413,3.74295,3.64967,2.93019,0.02569,0.03681,0.01546,0.00457,3.733,3.43582,3.04099,0.000492587,0.000492587,0.000492587
4,133.218,3.4609,3.24889,2.62376,0.10886,0.04068,0.02125,0.00762,3.46975,3.35654,2.70524,0.000492575,0.000492575,0.000492575
5,181.457,3.24003,2.98569,2.37944,0.204,0.04986,0.03926,0.01585,3.27627,3.09304,2.53735,0.0004901,0.0004901,0.0004901
6,205.292,3.09043,2.72941,2.22017,0.21371,0.06377,0.04845,0.02119,3.00093,2.87741,2.30131,0.000487625,0.000487625,0.000487625
7,233.373,2.94008,2.63648,2.17265,0.36224,0.06589,0.0739,0.0328,2.91345,2.78832,2.21085,0.00048515,0.00048515,0.00048515
8,276.139,2.8436,2.50317,2.09463,0.33379,0.07494,0.07463,0.03338,2.82626,2.61625,2.20226,0.000482675,0.000482675,0.000482675
9,299.255,2.77478,2.4128,2.05909,0.37928,0.08902,0.09379,0.04004,2.74865,2.4634,2.06634,0.0004802,0.0004802,0.0004802
10,326.609,2.66468,2.26914,1.99624,0.39056,0.0989,0.10556,0.04859,2.65596,2.37435,2.02989,0.000477725,0.000477725,0.000477725
11,380.411,2.62663,2.20633,1.92291,0.40574,0.12333,0.11492,0.05369,2.61434,2.35646,2.00704,0.00047525,0.00047525,0.00047525
12,404.684,2.5554,2.15103,1.91466,0.47725,0.11712,0.13557,0.06493,2.62037,2.19469,1.98546,0.000472775,0.000472775,0.000472775
13,433.73,2.50741,2.05886,1.86573,0.5427,0.12061,0.13584,0.06967,2.50362,2.32494,1.92897,0.0004703,0.0004703,0.0004703
14,458.333,2.47292,2.028,1.83483,0.51392,0.1479,0.15192,0.07601,2.45968,2.14533,1.90991,0.000467825,0.000467825,0.000467825
15,502.731,2.42982,1.95344,1.79375,0.47203,0.14627,0.15314,0.08086,2.4071,2.08724,1.8703,0.00046535,0.00046535,0.00046535
16,528.943,2.38908,1.948,1.79471,0.52641,0.13621,0.15236,0.07667,2.36963,2.28314,1.85671,0.000462875,0.000462875,0.000462875
17,593.438,2.36174,1.93231,1.78865,0.46544,0.16399,0.17819,0.09373,2.37837,1.9772,1.82641,0.0004604,0.0004604,0.0004604
18,617.794,2.31595,1.88053,1.77073,0.47735,0.16679,0.17435,0.09465,2.30289,1.98633,1.81682,0.000457925,0.000457925,0.000457925
19,645.005,2.26431,1.80892,1.75831,0.41945,0.15931,0.17249,0.09278,2.28203,1.95115,1.79578,0.00045545,0.00045545,0.00045545
20,686.475,2.22169,1.78499,1.72738,0.43289,0.17688,0.18426,0.10003,2.25225,2.02069,1.80051,0.000452975,0.000452975,0.000452975
21,712.011,2.16401,1.77362,1.73202,0.46884,0.16115,0.18106,0.10201,2.23172,1.97771,1.75806,0.0004505,0.0004505,0.0004505
