epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,324.455,3.64455,5.24144,3.58847,0.3465,0.06633,0.06047,0.02287,2.65914,3.85981,2.72449,0.0033323,0.0033323,0.0033323
2,638.973,2.41379,3.2933,2.47734,0.33352,0.18285,0.19534,0.10987,2.00252,3.29313,2.23188,0.00663264,0.00663264,0.00663264
3,950.108,1.96977,2.37391,2.17856,0.65306,0.23777,0.26771,0.16235,1.71536,2.885,2.03967,0.00989998,0.00989998,0.00989998
4,1258.99,1.75429,1.99175,2.02061,0.58542,0.28926,0.32582,0.20705,1.59038,2.49685,1.94858,0.0098515,0.0098515,0.0098515
5,1568.05,1.63635,1.78318,1.93871,0.61924,0.33043,0.3688,0.24206,1.46685,2.39735,1.85982,0.009802,0.009802,0.009802
6,1875.73,1.52731,1.57525,1.86544,0.5976,0.36481,0.4021,0.2679,1.42273,2.10524,1.81657,0.0097525,0.0097525,0.0097525
7,2184.65,1.48553,1.50204,1.81397,0.59113,0.40533,0.44309,0.29119,1.37077,2.0634,1.80158,0.009703,0.009703,0.009703
8,2496.56,1.44027,1.42239,1.79213,0.61553,0.43387,0.47011,0.30958,1.34314,2.41773,1.76507,0.0096535,0.0096535,0.0096535
9,2805.43,1.40541,1.3665,1.75518,0.56436,0.43175,0.47224,0.3192,1.32782,2.09904,1.72783,0.009604,0.009604,0.009604
10,3115.6,1.36745,1.29882,1.73347,0.67765,0.45783,0.50391,0.33747,1.28596,2.04328,1.72493,0.0095545,0.0095545,0.0095545
11,3425.99,1.34797,1.28062,1.70198,0.67514,0.47218,0.50515,0.34414,1.26053,1.98192,1.69233,0.009505,0.009505,0.009505
12,3734.8,1.3247,1.24893,1.67988,0.69978,0.47723,0.52196,0.36051,1.23401,2.12057,1.67225,0.0094555,0.0094555,0.0094555
13,4044.14,1.30536,1.21259,1.66523,0.73885,0.45725,0.52592,0.36891,1.22158,1.85239,1.65907,0.009406,0.009406,0.009406
14,4351.9,1.28291,1.18945,1.64151,0.717,0.49067,0.54378,0.38182,1.21076,1.92596,1.64773,0.0093565,0.0093565,0.0093565
15,4659.49,1.2818,1.18746,1.64378,0.73578,0.48286,0.55232,0.38779,1.21459,1.96188,1.63723,0.009307,0.009307,0.009307
16,4967.85,1.24708,1.13579,1.61253,0.73458,0.50472,0.55883,0.39198,1.18567,1.85237,1.62191,0.0092575,0.0092575,0.0092575
17,5275.54,1.24374,1.1243,1.60079,0.74656,0.51437,0.56652,0.3998,1.19092,1.81012,1.62614,0.009208,0.009208,0.009208
18,5582.76,1.23114,1.10051,1.59691,0.64666,0.51713,0.55952,0.39217,1.16436,1.92989,1.61122,0.0091585,0.0091585,0.0091585
19,5890.09,1.21469,1.10157,1.58862,0.7412,0.52634,0.58214,0.41486,1.16206,1.76277,1.60726,0.009109,0.009109,0.009109
20,6197.4,1.2146,1.09114,1.5792,0.7377,0.52383,0.57634,0.41291,1.1557,1.73616,1.6062,0.0090595,0.0090595,0.0090595
21,6504.35,1.19982,1.0578,1.58182,0.74909,0.52426,0.57893,0.41332,1.14552,1.66515,1.58989,0.00901,0.00901,0.00901
22,6810.74,1.19167,1.05905,1.57036,0.75584,0.52781,0.5954,0.42988,1.13648,1.7381,1.5799,0.0089605,0.0089605,0.0089605
23,7120.03,1.18793,1.04704,1.55952,0.75648,0.53359,0.59872,0.43181,1.12452,1.68623,1.57588,0.008911,0.008911,0.008911
24,7427.56,1.17439,1.03028,1.55022,0.75598,0.55047,0.60777,0.43832,1.11511,1.61118,1.56917,0.0088615,0.0088615,0.0088615
25,7736.41,1.17239,1.02392,1.54687,0.77091,0.55222,0.61145,0.44102,1.11139,1.78215,1.56906,0.008812,0.008812,0.008812
26,8045.53,1.1567,1.01572,1.53926,0.77154,0.56026,0.62114,0.45299,1.10482,1.73671,1.55765,0.0087625,0.0087625,0.0087625
27,8353.49,1.16265,0.99222,1.54424,0.77399,0.55205,0.61309,0.44406,1.09889,1.6607,1.55091,0.008713,0.008713,0.008713
28,8660.07,1.1515,0.99478,1.53779,0.7649,0.57216,0.62678,0.455,1.09253,1.61843,1.54343,0.0086635,0.0086635,0.0086635
29,8967.51,1.1444,0.99263,1.537,0.76042,0.56715,0.62238,0.45318,1.08747,1.67116,1.53954,0.008614,0.008614,0.008614
30,9275.33,1.14334,0.97402,1.5287,0.77555,0.56305,0.6295,0.45916,1.08323,1.58619,1.53962,0.0085645,0.0085645,0.0085645
31,9583.1,1.13409,0.9607,1.5242,0.77323,0.57561,0.6319,0.45822,1.07729,1.58982,1.53971,0.008515,0.008515,0.008515
32,9890.39,1.12983,0.9581,1.52167,0.77859,0.57849,0.64146,0.47003,1.06459,1.53217,1.5306,0.0084655,0.0084655,0.0084655
33,10197.4,1.12226,0.93744,1.50751,0.77114,0.5805,0.63582,0.46654,1.06912,1.51757,1.53022,0.008416,0.008416,0.008416
34,10506,1.12314,0.94621,1.50922,0.78261,0.58209,0.63596,0.47008,1.05885,1.56816,1.52328,0.0083665,0.0083665,0.0083665
35,10816.2,1.11376,0.91641,1.51105,0.78498,0.59081,0.64898,0.47821,1.05458,1.55935,1.51823,0.008317,0.008317,0.008317
36,11124.6,1.1022,0.91348,1.49521,0.77282,0.59448,0.64097,0.47189,1.0616,1.5962,1.5167,0.0082675,0.0082675,0.0082675
