epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.303,1.74452,2.11307,1.14289,0.68873,0.26161,0.28307,0.16869,1.57877,1.46981,1.05183,0.000166038,0.000166038,0.000166038
2,125.095,1.61637,1.32981,1.05857,0.57797,0.31131,0.3193,0.18777,1.5393,1.3592,1.03532,0.000331058,0.000331058,0.000331058
3,182.545,1.57021,1.24215,1.05668,0.61148,0.32884,0.35848,0.20622,1.56132,1.26557,1.04742,0.000494427,0.000494427,0.000494427
4,240.866,1.56942,1.17605,1.04393,0.65367,0.34473,0.38281,0.23254,1.49757,1.18507,1.02835,0.000492575,0.000492575,0.000492575
5,297.442,1.54149,1.11822,1.03253,0.68852,0.37674,0.42562,0.25702,1.49259,1.12276,1.02279,0.0004901,0.0004901,0.0004901
6,356.371,1.50273,1.02665,1.01138,0.65659,0.39461,0.4294,0.25927,1.46703,1.16925,1.00161,0.000487625,0.000487625,0.000487625
7,411.763,1.4658,1.01818,1.01346,0.63694,0.40631,0.43836,0.26474,1.43197,1.11105,1.00262,0.00048515,0.00048515,0.00048515
8,469.323,1.48626,1.03707,1.01246,0.63741,0.41009,0.42982,0.26035,1.45794,1.11255,1.00697,0.000482675,0.000482675,0.000482675
9,525.577,1.48266,1.0124,1.00637,0.68684,0.3969,0.45307,0.27508,1.41782,1.02433,0.99149,0.0004802,0.0004802,0.0004802
10,582.111,1.40945,0.94304,0.9936,0.70215,0.42166,0.48041,0.29558,1.43828,0.98712,0.99268,0.000477725,0.000477725,0.000477725
11,640.943,1.42459,0.93526,0.9952,0.64575,0.41048,0.4615,0.2806,1.42469,0.99818,0.98763,0.00047525,0.00047525,0.00047525
12,699.451,1.40207,0.92156,0.98649,0.72252,0.43061,0.48769,0.30074,1.39863,0.96361,0.98334,0.000472775,0.000472775,0.000472775
13,758.903,1.39709,0.91801,0.97679,0.6853,0.42029,0.47018,0.30057,1.36603,0.95509,0.97658,0.0004703,0.0004703,0.0004703
14,816.655,1.38049,0.88152,0.97505,0.79034,0.44149,0.50328,0.31183,1.38636,0.92979,0.9766,0.000467825,0.000467825,0.000467825
15,873.547,1.3472,0.85162,0.96952,0.75006,0.45845,0.50419,0.32064,1.36798,0.93431,0.97479,0.00046535,0.00046535,0.00046535
16,930.745,1.36544,0.85948,0.97289,0.73547,0.47904,0.52083,0.3272,1.37319,0.91006,0.97549,0.000462875,0.000462875,0.000462875
17,987.856,1.36305,0.87516,0.97049,0.71975,0.48913,0.5261,0.32488,1.35832,0.94494,0.97137,0.0004604,0.0004604,0.0004604
18,1045.4,1.35451,0.86327,0.97359,0.72576,0.4629,0.50863,0.32544,1.35075,0.92182,0.97251,0.000457925,0.000457925,0.000457925
19,1109.9,1.33169,0.86307,0.9721,0.71374,0.47816,0.52941,0.33161,1.36418,0.93897,0.96822,0.00045545,0.00045545,0.00045545
20,1169.63,1.35879,0.85411,0.96536,0.72508,0.46086,0.50497,0.31581,1.35786,0.93113,0.96799,0.000452975,0.000452975,0.000452975
21,1227.36,1.30944,0.82173,0.96085,0.70406,0.47743,0.51773,0.32595,1.3387,0.90716,0.95644,0.0004505,0.0004505,0.0004505
22,1283.2,1.31849,0.82136,0.95873,0.75658,0.47255,0.52692,0.33881,1.32162,0.89191,0.96001,0.000448025,0.000448025,0.000448025
23,1339.45,1.29236,0.78623,0.94447,0.72679,0.47148,0.51068,0.32541,1.33551,0.89139,0.95918,0.00044555,0.00044555,0.00044555
24,1396.14,1.27411,0.77068,0.94783,0.7364,0.48012,0.52462,0.33636,1.35134,0.89108,0.96313,0.000443075,0.000443075,0.000443075
25,1455.02,1.31617,0.8108,0.95125,0.72142,0.4858,0.51782,0.33141,1.34116,0.89622,0.95944,0.0004406,0.0004406,0.0004406
