epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4796,4.49965,4.80824,4.08325,0.00426,0.01229,0.00239,0.0007,4.47738,4.06394,3.87019,0.000166038,0.000166038,0.000166038
2,107.004,3.86982,3.7433,3.41231,0.15156,0.0249,0.01534,0.00511,3.69557,4.57051,3.00623,0.000331058,0.000331058,0.000331058
3,159.897,3.37621,3.17222,2.85535,0.17197,0.05826,0.03786,0.01397,3.34682,4.40459,2.63253,0.000494427,0.000494427,0.000494427
4,210.091,3.04451,2.82337,2.57913,0.41236,0.06837,0.0697,0.02878,3.03157,3.14394,2.39123,0.000492575,0.000492575,0.000492575
5,261.315,2.84806,2.62815,2.40549,0.36856,0.08543,0.08637,0.03879,2.92447,3.4604,2.30623,0.0004901,0.0004901,0.0004901
6,311.906,2.66082,2.41152,2.25787,0.4104,0.11274,0.12471,0.06147,2.64866,2.80245,2.14746,0.000487625,0.000487625,0.000487625
7,361.475,2.4984,2.24544,2.16946,0.492,0.12673,0.14075,0.07271,2.53478,2.45753,2.11159,0.00048515,0.00048515,0.00048515
8,411.052,2.40471,2.13261,2.09889,0.28164,0.15267,0.15726,0.08211,2.39134,2.44284,2.02803,0.000482675,0.000482675,0.000482675
9,461.712,2.29763,2.05901,2.08155,0.45633,0.15096,0.15962,0.08368,2.37713,2.70988,2.0443,0.0004802,0.0004802,0.0004802
10,512.654,2.21839,1.94676,1.99917,0.35222,0.16855,0.17163,0.09284,2.2584,2.40582,1.94887,0.000477725,0.000477725,0.000477725
11,563.167,2.14465,1.83791,1.9729,0.42238,0.18407,0.18862,0.10255,2.22399,2.34311,1.97228,0.00047525,0.00047525,0.00047525
12,613.149,2.10357,1.83944,1.95457,0.60708,0.18898,0.20793,0.11754,2.12521,2.29817,1.92247,0.000472775,0.000472775,0.000472775
13,662.885,2.03866,1.77137,1.95243,0.53359,0.19291,0.21557,0.1205,2.09982,2.1514,1.88309,0.0004703,0.0004703,0.0004703
14,713.071,1.99214,1.73495,1.91965,0.44878,0.2053,0.2203,0.12682,2.04945,2.22843,1.83557,0.000467825,0.000467825,0.000467825
15,763.191,1.9695,1.70856,1.84857,0.57653,0.20777,0.22521,0.13125,2.05113,2.09696,1.82741,0.00046535,0.00046535,0.00046535
16,812.624,1.94135,1.60766,1.86183,0.57798,0.22663,0.24651,0.14765,1.98061,1.8457,1.83072,0.000462875,0.000462875,0.000462875
17,862.13,1.85824,1.55696,1.80679,0.57305,0.22365,0.24369,0.14626,1.909,2.26918,1.77062,0.0004604,0.0004604,0.0004604
18,911.65,1.84842,1.57127,1.80435,0.63668,0.2335,0.25702,0.15425,1.89861,1.88558,1.75826,0.000457925,0.000457925,0.000457925
19,960.861,1.81916,1.53027,1.8127,0.61522,0.23892,0.26898,0.16367,1.86555,1.92041,1.75208,0.00045545,0.00045545,0.00045545
20,1010.71,1.78779,1.48846,1.74372,0.63131,0.24415,0.27573,0.1708,1.80424,1.9331,1.73904,0.000452975,0.000452975,0.000452975
21,1060.48,1.78768,1.50079,1.7589,0.59166,0.25621,0.2767,0.17244,1.80222,1.80868,1.72121,0.0004505,0.0004505,0.0004505
22,1109.59,1.70618,1.45063,1.75186,0.63771,0.2535,0.29535,0.18558,1.78432,1.90294,1.69784,0.000448025,0.000448025,0.000448025
23,1158.75,1.69502,1.43328,1.74371,0.61113,0.25031,0.28511,0.17832,1.78366,1.87208,1.72092,0.00044555,0.00044555,0.00044555
24,1208.1,1.6764,1.40519,1.75916,0.63775,0.25975,0.29513,0.18534,1.74553,1.71018,1.6975,0.000443075,0.000443075,0.000443075
25,1257.49,1.69387,1.38649,1.71672,0.62035,0.27389,0.30432,0.1943,1.73059,1.74208,1.67154,0.0004406,0.0004406,0.0004406
26,1306.84,1.62522,1.33168,1.72414,0.60558,0.28513,0.3084,0.19356,1.74655,1.73534,1.69145,0.000438125,0.000438125,0.000438125
27,1356.42,1.62219,1.31704,1.70283,0.63271,0.26943,0.30593,0.19519,1.71047,1.72492,1.66347,0.00043565,0.00043565,0.00043565
28,1405.45,1.63403,1.34295,1.67752,0.61229,0.27522,0.30645,0.19957,1.6836,1.65243,1.64544,0.000433175,0.000433175,0.000433175
29,1455.34,1.64771,1.32664,1.66784,0.62555,0.27506,0.31312,0.20139,1.6969,1.93848,1.63668,0.0004307,0.0004307,0.0004307
30,1505.25,1.61736,1.30205,1.6603,0.66606,0.2849,0.32038,0.20574,1.67804,1.69002,1.64914,0.000428225,0.000428225,0.000428225
31,1555,1.62201,1.30989,1.64805,0.6994,0.28342,0.3265,0.21115,1.6775,1.69981,1.60933,0.00042575,0.00042575,0.00042575
32,1603.87,1.58831,1.304,1.66322,0.60283,0.2907,0.32153,0.20998,1.65852,1.58735,1.63357,0.000423275,0.000423275,0.000423275
33,1653.4,1.60453,1.31437,1.66967,0.69059,0.28342,0.3338,0.21396,1.67426,1.64206,1.62644,0.0004208,0.0004208,0.0004208
34,1702.84,1.58666,1.2532,1.61103,0.66458,0.30971,0.34291,0.22712,1.61085,1.57463,1.59735,0.000418325,0.000418325,0.000418325
35,1752.12,1.55979,1.25234,1.63493,0.61087,0.30698,0.34273,0.22549,1.60662,1.5752,1.58922,0.00041585,0.00041585,0.00041585
36,1801.4,1.50884,1.19532,1.59661,0.66133,0.30097,0.34895,0.23236,1.59073,1.54053,1.5756,0.000413375,0.000413375,0.000413375
37,1850.51,1.53518,1.20896,1.58636,0.6518,0.30262,0.34286,0.22816,1.59882,1.53844,1.60088,0.0004109,0.0004109,0.0004109
38,1899.28,1.50087,1.18418,1.5801,0.70648,0.3079,0.36236,0.24154,1.56895,1.47645,1.57888,0.000408425,0.000408425,0.000408425
39,1948.58,1.52563,1.19374,1.58649,0.67334,0.31605,0.36141,0.23895,1.56592,1.53057,1.57317,0.00040595,0.00040595,0.00040595
40,1997.98,1.51989,1.21573,1.60118,0.6019,0.3113,0.35873,0.23886,1.57745,1.62798,1.57973,0.000403475,0.000403475,0.000403475
