epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7062,4.5403,5.05031,3.97214,0.00542,0.00776,0.00297,0.00078,4.28395,4.44749,3.53227,0.000166038,0.000166038,0.000166038
2,63.4267,3.92621,4.39836,3.24143,0.0069,0.01661,0.0039,0.00102,3.85151,4.39027,3.10569,0.000331058,0.000331058,0.000331058
3,94.1105,3.61893,3.77365,2.81429,0.03322,0.03381,0.01405,0.00448,3.62745,4.0069,2.85973,0.000494427,0.000494427,0.000494427
4,125.372,3.35218,3.45698,2.53158,0.1621,0.03915,0.02894,0.01158,3.35873,3.64491,2.54439,0.000492575,0.000492575,0.000492575
5,155.295,3.11161,3.13878,2.38012,0.16149,0.04758,0.04446,0.0206,3.18405,3.42802,2.43472,0.0004901,0.0004901,0.0004901
6,185.934,3.02887,3.04602,2.28856,0.16483,0.06156,0.05362,0.0229,3.06924,3.17144,2.35037,0.000487625,0.000487625,0.000487625
7,218.466,2.90354,2.91814,2.21013,0.16305,0.068,0.05569,0.0271,2.93375,3.22269,2.25069,0.00048515,0.00048515,0.00048515
8,250.066,2.78374,2.78418,2.15352,0.20309,0.08783,0.07661,0.03803,2.79322,3.31947,2.18348,0.000482675,0.000482675,0.000482675
9,284.569,2.67123,2.76798,2.11777,0.28065,0.09034,0.08534,0.0411,2.75882,3.12096,2.13386,0.0004802,0.0004802,0.0004802
10,314.851,2.63981,2.63245,2.07469,0.23332,0.09691,0.0974,0.04742,2.65854,2.8339,2.08461,0.000477725,0.000477725,0.000477725
11,343.517,2.55343,2.57343,2.02443,0.23569,0.10251,0.09541,0.0514,2.62896,2.87557,2.05153,0.00047525,0.00047525,0.00047525
12,376.078,2.50559,2.44484,1.96807,0.22064,0.10581,0.10321,0.05556,2.57267,2.93776,2.01507,0.000472775,0.000472775,0.000472775
13,406.386,2.44563,2.39994,1.96111,0.39267,0.11367,0.11863,0.06008,2.55826,2.65545,2.00551,0.0004703,0.0004703,0.0004703
14,437.904,2.46332,2.37695,1.95139,0.45431,0.12423,0.12884,0.06841,2.45785,2.61639,1.96958,0.000467825,0.000467825,0.000467825
