epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.1392,2.10633,4.17849,1.22201,0.53628,0.10485,0.10659,0.06329,2.07482,2.68575,1.14835,0.000166038,0.000166038,0.000166038
2,133.02,2.12131,2.73404,1.14017,0.63459,0.17883,0.1807,0.10252,1.97792,2.37083,1.12462,0.000331058,0.000331058,0.000331058
3,191.859,1.99,2.22509,1.1159,0.68025,0.19159,0.20244,0.11167,1.95651,2.0042,1.09432,0.000494427,0.000494427,0.000494427
4,252.575,1.88865,1.94252,1.09714,0.70334,0.22033,0.23392,0.13263,1.86633,1.92708,1.08099,0.000492575,0.000492575,0.000492575
5,313.181,1.81084,1.7673,1.07661,0.62582,0.23721,0.24557,0.13885,1.79928,1.78144,1.0696,0.0004901,0.0004901,0.0004901
6,371.617,1.79138,1.71936,1.06626,0.59987,0.24393,0.2586,0.15143,1.78894,1.6987,1.05614,0.000487625,0.000487625,0.000487625
7,430.539,1.816,1.64889,1.05965,0.5958,0.24521,0.26874,0.15565,1.81513,1.64498,1.05923,0.00048515,0.00048515,0.00048515
8,488.671,1.78962,1.58152,1.05199,0.64244,0.26066,0.27824,0.16268,1.75729,1.62927,1.04127,0.000482675,0.000482675,0.000482675
9,549.104,1.71364,1.52707,1.04181,0.66107,0.27832,0.30203,0.17725,1.73977,1.48426,1.02684,0.0004802,0.0004802,0.0004802
10,608.637,1.7069,1.47837,1.03973,0.68333,0.28213,0.30428,0.17721,1.72197,1.50326,1.03708,0.000477725,0.000477725,0.000477725
11,668.437,1.71309,1.4395,1.02807,0.66226,0.29548,0.319,0.18485,1.70986,1.45953,1.02375,0.00047525,0.00047525,0.00047525
12,726.405,1.65354,1.38786,1.0297,0.66111,0.31403,0.3346,0.19882,1.67131,1.40719,1.01874,0.000472775,0.000472775,0.000472775
13,785.773,1.66883,1.38493,1.01802,0.65389,0.31472,0.34287,0.20456,1.67948,1.38818,1.01495,0.0004703,0.0004703,0.0004703
14,845.006,1.64468,1.35606,1.01934,0.68955,0.31065,0.33964,0.19751,1.68737,1.39785,1.00878,0.000467825,0.000467825,0.000467825
15,904.828,1.65119,1.32306,1.01108,0.66538,0.30828,0.34867,0.20245,1.67113,1.34737,1.00995,0.00046535,0.00046535,0.00046535
16,962.445,1.59079,1.28042,1.01395,0.6169,0.32177,0.35406,0.20892,1.67319,1.42732,1.00676,0.000462875,0.000462875,0.000462875
17,1028.09,1.63081,1.28215,1.00667,0.68471,0.30979,0.34594,0.2046,1.70021,1.33941,1.0123,0.0004604,0.0004604,0.0004604
18,1089.18,1.65036,1.29878,1.00724,0.66571,0.32507,0.36035,0.21149,1.67456,1.31812,1.00347,0.000457925,0.000457925,0.000457925
19,1150.59,1.62819,1.26065,1.00709,0.627,0.34051,0.37033,0.22067,1.64201,1.29468,1.00612,0.00045545,0.00045545,0.00045545
20,1208.98,1.61868,1.23933,0.9967,0.65115,0.33703,0.37062,0.21903,1.63001,1.29058,0.99753,0.000452975,0.000452975,0.000452975
21,1268.11,1.59407,1.22168,0.9973,0.61019,0.34633,0.37185,0.21899,1.63277,1.26655,0.99523,0.0004505,0.0004505,0.0004505
22,1327.72,1.59023,1.19468,0.99916,0.67365,0.33349,0.37652,0.22257,1.63733,1.2395,0.99878,0.000448025,0.000448025,0.000448025
23,1389.44,1.59249,1.20579,0.9903,0.65757,0.33893,0.37369,0.22212,1.61826,1.27962,0.99265,0.00044555,0.00044555,0.00044555
24,1448.64,1.59413,1.15887,0.99196,0.62137,0.34289,0.37879,0.22421,1.64094,1.29492,1.00023,0.000443075,0.000443075,0.000443075
25,1506.73,1.58877,1.20294,1.00009,0.65294,0.34195,0.38791,0.23041,1.60082,1.23907,0.99211,0.0004406,0.0004406,0.0004406
26,1570.07,1.52822,1.13522,0.98807,0.60386,0.35474,0.3868,0.22962,1.61378,1.25235,0.99107,0.000438125,0.000438125,0.000438125
27,1631.19,1.57878,1.16481,0.98402,0.63337,0.33408,0.3763,0.22557,1.62223,1.24095,0.98609,0.00043565,0.00043565,0.00043565
28,1690.3,1.52845,1.11839,0.9859,0.63212,0.34937,0.38694,0.22771,1.63194,1.21975,0.98974,0.000433175,0.000433175,0.000433175
29,1747.99,1.5694,1.13447,0.98206,0.66526,0.35281,0.39437,0.23197,1.60704,1.20987,0.99095,0.0004307,0.0004307,0.0004307
30,1805.41,1.54041,1.11044,0.98358,0.65857,0.34858,0.39333,0.23605,1.59086,1.21237,0.99045,0.000428225,0.000428225,0.000428225
31,1866.04,1.53942,1.1075,0.98055,0.60591,0.37012,0.40441,0.24012,1.5937,1.19154,0.98243,0.00042575,0.00042575,0.00042575
32,1923.13,1.52029,1.09911,0.97761,0.65886,0.3571,0.39871,0.23775,1.60639,1.18637,0.98652,0.000423275,0.000423275,0.000423275
33,1982.86,1.55465,1.10317,0.98002,0.65594,0.36369,0.39994,0.23926,1.58785,1.17119,0.98309,0.0004208,0.0004208,0.0004208
34,2043.36,1.53669,1.08102,0.97365,0.62447,0.35645,0.39465,0.23786,1.58374,1.19565,0.98437,0.000418325,0.000418325,0.000418325
