epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4379,4.53893,5.00527,4.07741,0.00644,0.00314,0.00331,0.00045,4.2103,4.41956,3.65526,0.000166038,0.000166038,0.000166038
2,66.8319,3.97626,4.46468,3.37513,0.00464,0.00937,0.00251,0.00059,3.89478,4.42531,3.17914,0.000331058,0.000331058,0.000331058
3,98.3081,3.71771,3.94762,2.94024,0.00932,0.01689,0.00498,0.00144,3.83315,4.21864,3.09778,0.000494427,0.000494427,0.000494427
4,130.402,3.4832,3.63959,2.64621,0.01166,0.03872,0.0073,0.00229,3.55665,4.10679,2.81713,0.000492575,0.000492575,0.000492575
5,162.087,3.2637,3.32721,2.47511,0.17953,0.03831,0.02718,0.01245,3.30485,3.882,2.54729,0.0004901,0.0004901,0.0004901
6,194.517,3.1202,3.20042,2.34403,0.13953,0.05163,0.0398,0.01801,3.13271,3.62041,2.40558,0.000487625,0.000487625,0.000487625
7,227.817,2.96978,3.04602,2.24342,0.14458,0.06026,0.04716,0.02199,2.96484,3.36051,2.23458,0.00048515,0.00048515,0.00048515
8,260.599,2.84826,2.90973,2.16755,0.23095,0.07299,0.06281,0.03114,2.84733,3.39362,2.19316,0.000482675,0.000482675,0.000482675
9,296.691,2.70233,2.86355,2.12086,0.20635,0.081,0.0773,0.03874,2.76412,3.25917,2.13292,0.0004802,0.0004802,0.0004802
10,329.524,2.66474,2.73541,2.07464,0.34959,0.09483,0.12349,0.05107,2.63958,3.14985,2.06615,0.000477725,0.000477725,0.000477725
11,361.738,2.5782,2.67209,2.03172,0.29494,0.09235,0.0876,0.0462,2.66588,3.01204,2.06627,0.00047525,0.00047525,0.00047525
12,396.028,2.54093,2.55816,1.98413,0.3248,0.10455,0.10279,0.05412,2.58598,2.9488,2.01685,0.000472775,0.000472775,0.000472775
13,428.086,2.46539,2.49686,1.96949,0.33536,0.10866,0.1123,0.05793,2.52912,2.74076,1.99142,0.0004703,0.0004703,0.0004703
14,461.874,2.47305,2.46895,1.96701,0.44972,0.11146,0.11791,0.06518,2.46683,3.06422,1.96708,0.000467825,0.000467825,0.000467825
15,493.784,2.42941,2.41244,1.91038,0.42378,0.11773,0.12086,0.06578,2.44891,2.86425,1.94788,0.00046535,0.00046535,0.00046535
16,527.327,2.37854,2.36264,1.90731,0.30992,0.12078,0.12641,0.06803,2.39387,2.79223,1.93629,0.000462875,0.000462875,0.000462875
17,561.938,2.32508,2.31376,1.89134,0.48637,0.12509,0.13908,0.0773,2.35892,2.69682,1.91524,0.0004604,0.0004604,0.0004604
18,595.864,2.3523,2.37128,1.86142,0.37284,0.12449,0.1322,0.07249,2.37293,2.82001,1.89479,0.000457925,0.000457925,0.000457925
19,628.167,2.30787,2.24874,1.88563,0.36721,0.13535,0.14427,0.08125,2.28766,2.87579,1.89671,0.00045545,0.00045545,0.00045545
20,661.425,2.24197,2.20147,1.85768,0.36286,0.14005,0.14429,0.08254,2.30663,2.63533,1.8741,0.000452975,0.000452975,0.000452975
21,693.366,2.22497,2.17775,1.81817,0.36029,0.14876,0.1507,0.08766,2.31542,2.92105,1.87716,0.0004505,0.0004505,0.0004505
22,724.481,2.18578,2.10478,1.82983,0.42178,0.15867,0.16406,0.09479,2.25524,2.47783,1.85721,0.000448025,0.000448025,0.000448025
23,757.395,2.20579,2.12765,1.82529,0.43234,0.1641,0.17051,0.09823,2.25008,2.51792,1.85552,0.00044555,0.00044555,0.00044555
24,788.973,2.21121,2.1152,1.77455,0.44023,0.1576,0.16942,0.10033,2.20391,2.4867,1.83645,0.000443075,0.000443075,0.000443075
25,822.267,2.16876,2.07217,1.7868,0.45256,0.16537,0.18,0.10231,2.24063,2.39927,1.85663,0.0004406,0.0004406,0.0004406
26,853.932,2.11938,2.02189,1.78471,0.43331,0.16275,0.17965,0.10622,2.19685,2.42764,1.84369,0.000438125,0.000438125,0.000438125
27,885.38,2.13283,2.02477,1.77948,0.43963,0.17196,0.18353,0.10693,2.20182,2.49398,1.81002,0.00043565,0.00043565,0.00043565
28,919.406,2.10631,1.98359,1.79248,0.45291,0.17172,0.18214,0.10761,2.16339,2.39147,1.7936,0.000433175,0.000433175,0.000433175
29,951.965,2.09935,1.97847,1.74276,0.46472,0.17737,0.19431,0.1153,2.15953,2.31268,1.80368,0.0004307,0.0004307,0.0004307
30,984.121,2.07646,1.9146,1.78527,0.47441,0.17387,0.19279,0.11385,2.13804,2.30487,1.77597,0.000428225,0.000428225,0.000428225
31,1018.38,2.09721,1.9399,1.74281,0.4987,0.17914,0.20062,0.1188,2.12207,2.3565,1.76281,0.00042575,0.00042575,0.00042575
