epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6289,4.59299,5.20059,4.06904,0,0,0,0,5.14312,4.9347,4.41404,0.000165414,0.000165414,0.000165414
2,64.3509,3.89729,4.6175,3.31669,0.00517,0.00672,0.00284,0.00064,3.83914,4.07801,2.99951,0.000330436,0.000330436,0.000330436
3,96.3545,3.67087,3.96074,2.90507,0.01218,0.01811,0.00763,0.00303,3.62555,5.08013,2.7034,0.000493809,0.000493809,0.000493809
4,127.613,3.45046,3.50597,2.61668,0.09961,0.02612,0.01275,0.00547,3.44744,3.99099,2.54045,0.000492575,0.000492575,0.000492575
5,159.149,3.27608,3.2879,2.47224,0.10834,0.03056,0.01871,0.00765,3.34509,4.26359,2.43608,0.0004901,0.0004901,0.0004901
6,188.8,3.10881,3.09804,2.33891,0.129,0.05087,0.03521,0.01622,3.08849,3.29473,2.1942,0.000487625,0.000487625,0.000487625
7,219.147,2.9469,2.91483,2.20542,0.26725,0.06911,0.06624,0.03579,2.96267,3.05241,2.13717,0.00048515,0.00048515,0.00048515
8,249.106,2.82112,2.82862,2.15683,0.22119,0.07208,0.05808,0.0294,2.89486,3.00066,2.08882,0.000482675,0.000482675,0.000482675
9,280.068,2.76315,2.77916,2.13409,0.28609,0.08002,0.07271,0.03723,2.74826,2.86849,2.02432,0.0004802,0.0004802,0.0004802
10,310.5,2.66383,2.69374,2.05556,0.30761,0.0873,0.07979,0.04099,2.66011,2.8429,1.982,0.000477725,0.000477725,0.000477725
11,340.326,2.61268,2.57857,2.0087,0.30209,0.0926,0.08694,0.04653,2.66435,2.92065,1.96812,0.00047525,0.00047525,0.00047525
12,370.576,2.53195,2.45781,1.96457,0.28158,0.09585,0.09191,0.04929,2.56685,2.77897,1.92853,0.000472775,0.000472775,0.000472775
13,398.966,2.52514,2.45052,1.94931,0.28269,0.10234,0.09992,0.05351,2.54052,2.73058,1.90464,0.0004703,0.0004703,0.0004703
