epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.529,4.42742,4.82373,3.92397,0.00419,0.00931,0.0023,0.00054,4.23196,4.41746,3.59808,0.000166038,0.000166038,0.000166038
2,107.205,3.71228,3.62508,3.09746,0.03902,0.03459,0.01534,0.00486,3.52591,3.99668,2.88954,0.000331058,0.000331058,0.000331058
3,159.341,3.25811,3.15188,2.73162,0.12093,0.05093,0.03528,0.01315,3.19194,3.52932,2.59797,0.000494427,0.000494427,0.000494427
4,209.722,2.90443,2.78486,2.47636,0.12814,0.08461,0.06175,0.02502,2.91974,2.87105,2.50715,0.000492575,0.000492575,0.000492575
5,259.742,2.69855,2.5751,2.33588,0.34761,0.09482,0.12352,0.05028,2.68211,3.06074,2.38796,0.0004901,0.0004901,0.0004901
6,309.974,2.58321,2.27532,2.21013,0.41129,0.11371,0.11488,0.05737,2.55121,2.73834,2.28596,0.000487625,0.000487625,0.000487625
7,359.399,2.42269,2.20311,2.19011,0.46396,0.15635,0.14649,0.07524,2.43439,2.53569,2.2234,0.00048515,0.00048515,0.00048515
8,409.282,2.3438,2.17421,2.10896,0.50767,0.15309,0.1453,0.07183,2.50923,2.62597,2.20344,0.000482675,0.000482675,0.000482675
9,458.73,2.23286,2.03019,2.08781,0.45094,0.16682,0.17362,0.09659,2.22287,2.57974,2.07038,0.0004802,0.0004802,0.0004802
10,508.098,2.13567,1.91883,2.02987,0.51271,0.17191,0.18018,0.1008,2.18577,2.32788,2.03814,0.000477725,0.000477725,0.000477725
11,557.389,2.12393,1.83173,1.96866,0.49425,0.18737,0.20112,0.11581,2.1145,2.13998,1.97164,0.00047525,0.00047525,0.00047525
12,606.788,2.05768,1.78034,1.96371,0.54017,0.18527,0.20577,0.12262,2.05107,2.18021,1.98213,0.000472775,0.000472775,0.000472775
13,656.129,1.99507,1.73477,1.89877,0.45301,0.19566,0.2074,0.12385,2.027,2.01722,1.92484,0.0004703,0.0004703,0.0004703
14,705.38,1.9537,1.69874,1.85524,0.52687,0.21298,0.22389,0.13113,1.99097,2.09725,1.89016,0.000467825,0.000467825,0.000467825
15,755.29,1.91861,1.64404,1.8753,0.54807,0.21304,0.23376,0.14207,1.93341,2.08746,1.8871,0.00046535,0.00046535,0.00046535
16,804.536,1.89921,1.60336,1.86785,0.56101,0.21847,0.23905,0.13618,1.9566,1.93711,1.87576,0.000462875,0.000462875,0.000462875
17,853.979,1.87596,1.6042,1.84564,0.40161,0.23358,0.2429,0.14773,1.88829,2.02629,1.83844,0.0004604,0.0004604,0.0004604
18,903.299,1.84868,1.56343,1.81013,0.63751,0.23091,0.25973,0.16037,1.85991,1.82518,1.82397,0.000457925,0.000457925,0.000457925
19,952.519,1.78235,1.51073,1.78862,0.54511,0.24886,0.26937,0.16774,1.79404,1.73739,1.81213,0.00045545,0.00045545,0.00045545
20,1002.19,1.83242,1.549,1.77472,0.56679,0.25784,0.27873,0.17547,1.79162,1.7964,1.78385,0.000452975,0.000452975,0.000452975
21,1051.61,1.74338,1.46709,1.75412,0.58885,0.26363,0.29038,0.18359,1.77468,1.77356,1.76586,0.0004505,0.0004505,0.0004505
22,1101.16,1.76469,1.47718,1.73614,0.61571,0.25508,0.28055,0.17763,1.80847,1.808,1.77608,0.000448025,0.000448025,0.000448025
23,1150.53,1.73494,1.42428,1.68663,0.57133,0.26121,0.28546,0.18076,1.76985,1.94554,1.73558,0.00044555,0.00044555,0.00044555
24,1199.84,1.71232,1.41749,1.72028,0.55712,0.27169,0.30011,0.19368,1.7506,1.75358,1.75571,0.000443075,0.000443075,0.000443075
25,1249.32,1.74438,1.45785,1.6971,0.6251,0.26852,0.30415,0.19693,1.70065,1.67198,1.71789,0.0004406,0.0004406,0.0004406
26,1298.84,1.69068,1.41122,1.69767,0.53666,0.28007,0.31499,0.20336,1.69177,1.64447,1.70689,0.000438125,0.000438125,0.000438125
27,1348.38,1.68448,1.39571,1.67247,0.60815,0.28559,0.31818,0.20937,1.66318,1.67174,1.70845,0.00043565,0.00043565,0.00043565
28,1397.84,1.64705,1.36646,1.67095,0.57275,0.27406,0.31503,0.20441,1.69481,1.63911,1.68706,0.000433175,0.000433175,0.000433175
29,1447.75,1.65096,1.34823,1.66397,0.51462,0.28196,0.31206,0.20189,1.69209,1.8291,1.67761,0.0004307,0.0004307,0.0004307
30,1497.32,1.64201,1.33561,1.64913,0.61073,0.29108,0.33641,0.22099,1.66485,1.54362,1.68168,0.000428225,0.000428225,0.000428225
31,1546.66,1.61087,1.33414,1.63707,0.57623,0.29787,0.34162,0.2254,1.62834,1.51917,1.66817,0.00042575,0.00042575,0.00042575
32,1596.06,1.58825,1.2906,1.64501,0.60046,0.29913,0.33725,0.22302,1.63072,1.5597,1.65709,0.000423275,0.000423275,0.000423275
33,1645.54,1.5572,1.26443,1.62845,0.61079,0.30064,0.34883,0.22917,1.58621,1.51591,1.65587,0.0004208,0.0004208,0.0004208
34,1695.36,1.56455,1.24555,1.59535,0.61703,0.30755,0.34842,0.23185,1.56609,1.51263,1.62679,0.000418325,0.000418325,0.000418325
35,1744.79,1.53604,1.23996,1.57376,0.57627,0.30673,0.3634,0.24149,1.57092,1.48838,1.62321,0.00041585,0.00041585,0.00041585
36,1794.36,1.50633,1.2168,1.58006,0.55054,0.31423,0.36075,0.24128,1.57363,1.48349,1.62875,0.000413375,0.000413375,0.000413375
37,1843.63,1.52978,1.20783,1.57979,0.60523,0.30538,0.35869,0.24142,1.55988,1.47916,1.63353,0.0004109,0.0004109,0.0004109
38,1892.93,1.53687,1.23869,1.59852,0.5194,0.30657,0.34553,0.23078,1.53902,1.53749,1.61647,0.000408425,0.000408425,0.000408425
39,1942.44,1.51572,1.22879,1.55203,0.57672,0.30778,0.36177,0.24234,1.56577,1.52786,1.6152,0.00040595,0.00040595,0.00040595
40,1992.25,1.51495,1.21054,1.5634,0.60302,0.32267,0.36299,0.24515,1.53257,1.46363,1.60919,0.000403475,0.000403475,0.000403475
41,2041.58,1.5247,1.2097,1.56447,0.62562,0.32332,0.37417,0.24939,1.52743,1.45262,1.6227,0.000401,0.000401,0.000401
42,2091.02,1.47237,1.15983,1.57178,0.55534,0.32527,0.37039,0.25021,1.50818,1.45866,1.59156,0.000398525,0.000398525,0.000398525
43,2140.57,1.47907,1.16186,1.54467,0.5854,0.33021,0.38014,0.25531,1.50728,1.4405,1.60252,0.00039605,0.00039605,0.00039605
44,2189.6,1.48191,1.17052,1.55203,0.52838,0.32952,0.37423,0.25653,1.50431,1.42936,1.61,0.000393575,0.000393575,0.000393575
45,2239.11,1.43888,1.14924,1.53888,0.61097,0.33326,0.38265,0.26026,1.48353,1.38695,1.59963,0.0003911,0.0003911,0.0003911
46,2288.8,1.4802,1.18946,1.53763,0.59517,0.32481,0.38115,0.25789,1.49658,1.48081,1.58618,0.000388625,0.000388625,0.000388625
47,2338.12,1.44818,1.16326,1.55751,0.64274,0.33512,0.39259,0.26739,1.47574,1.37024,1.57735,0.00038615,0.00038615,0.00038615
48,2387.18,1.46587,1.16335,1.5316,0.64486,0.33311,0.39753,0.27199,1.47226,1.40091,1.57152,0.000383675,0.000383675,0.000383675
49,2436.27,1.41474,1.1173,1.52736,0.58947,0.33214,0.39819,0.27495,1.4667,1.33661,1.5736,0.0003812,0.0003812,0.0003812
50,2485.81,1.42154,1.12822,1.52421,0.57491,0.34,0.39197,0.26801,1.45722,1.37651,1.56139,0.000378725,0.000378725,0.000378725
51,2535.54,1.42388,1.10704,1.51971,0.59263,0.33801,0.39619,0.27227,1.47559,1.41461,1.56651,0.00037625,0.00037625,0.00037625
52,2584.98,1.39683,1.09633,1.53086,0.6572,0.3714,0.42698,0.29532,1.44532,1.37452,1.5501,0.000373775,0.000373775,0.000373775
53,2634.16,1.39283,1.07846,1.5083,0.60157,0.35278,0.40713,0.27886,1.44287,1.29888,1.55488,0.0003713,0.0003713,0.0003713
54,2683.18,1.38345,1.10454,1.52427,0.67025,0.34101,0.40452,0.27766,1.43678,1.31049,1.54983,0.000368825,0.000368825,0.000368825
55,2732.69,1.40702,1.08697,1.52503,0.65243,0.35121,0.40047,0.27495,1.45175,1.41601,1.54513,0.00036635,0.00036635,0.00036635
56,2781.77,1.38024,1.07978,1.50227,0.59418,0.3719,0.42613,0.29447,1.42112,1.27704,1.53066,0.000363875,0.000363875,0.000363875
57,2831.3,1.37909,1.06569,1.48713,0.61291,0.36385,0.41572,0.28479,1.41899,1.33574,1.55031,0.0003614,0.0003614,0.0003614
58,2880.9,1.37564,1.05343,1.47427,0.64149,0.35866,0.42435,0.29397,1.41338,1.29973,1.55641,0.000358925,0.000358925,0.000358925
